price,year,make,model,location,dealerName,isDealer,scrapeLocation,scrapeZip,mileage,highPriced,lowMileage,isLuxury,isRecent
18732,2022,Nissan,Altima SR FWD,"Los Angeles, CA (13 mi.)",Rydell Chevrolet,1,"Los Angeles, CA",90210,24583,0,1,0,1
28950,2023,Audi,Q5 40 Premium,"Pasadena, CA (19 mi.)",Audi Pasadena,1,"Los Angeles, CA",90210,27221,0,1,1,1
26995,2023,Hyundai,SANTA FE Limited,"City Of Industry, CA (30 mi.)",Puente Hills Hyundai,1,"Los Angeles, CA",90210,34232,0,1,0,1
22995,2023,Honda,Civic LX,"Glendale, CA (10 mi.)",New Century Honda,1,"Los Angeles, CA",90210,21337,0,1,0,1
23135,2019,Honda,Accord Sport 2.0T,"Monrovia, CA (25 mi.)",Sierra Subaru of Monrovia,1,"Los Angeles, CA",90210,55945,0,0,0,0
12991,2012,Acura,MDX 3.7L Technology,"Buena Park, CA (30 mi.)",BMW of Buena Park,1,"Los Angeles, CA",90210,93792,0,0,1,0
39996,2024,BMW,X5 sDrive40i,"Monrovia, CA (25 mi.)",BMW of Monrovia,1,"Los Angeles, CA",90210,44001,1,1,1,1
23752,2022,Alfa,Romeo Giulia Ti,"Gardena, CA (16 mi.)",Gardena Nissan,1,"Los Angeles, CA",90210,52407,0,0,0,1
89000,2021,Ford,F-150 Raptor,"Buena Park, CA (29 mi.)",Ken Grody Ford Orange County,1,"Los Angeles, CA",90210,35115,1,1,0,1
45977,2024,BMW,X3 xDrive30i,"Buena Park, CA (30 mi.)",BMW of Buena Park,1,"Los Angeles, CA",90210,11892,1,1,1,1
24362,2024,Mazda,CX-5 2.5 S Select,"Downey, CA (19 mi.)",Downey Hyundai,1,"Los Angeles, CA",90210,20647,0,1,0,1
40500,2022,RAM,1500 Laramie,"Los Angeles, CA (6 mi.)",Van Nuys Chrysler Dodge Jeep Ram,1,"Los Angeles, CA",90210,29990,1,1,0,1
29472,2023,Subaru,Forester Wilderness,"Monrovia, CA (25 mi.)",Sierra Subaru of Monrovia,1,"Los Angeles, CA",90210,36046,0,1,0,1
32970,2022,BMW,X3 sDrive30i,"Valencia, CA (24 mi.)",Valencia BMW,1,"Los Angeles, CA",90210,27199,1,1,1,1
44496,2024,BMW,X3 sDrive30i,"Monrovia, CA (25 mi.)",BMW of Monrovia,1,"Los Angeles, CA",90210,8829,1,1,1,1
24599,2023,Honda,Civic Sport,"Alhambra, CA (16 mi.)",Goudy Honda,1,"Los Angeles, CA",90210,29078,0,1,0,1
38881,2024,BMW,X3 xDrive30i,"Glendale, CA (10 mi.)",Pacific BMW,1,"Los Angeles, CA",90210,22988,1,1,1,1
32000,2023,Kia,Sorento SX,"Los Angeles, CA (10 mi.)",Kia Downtown Los Angeles,1,"Los Angeles, CA",90210,13800,1,1,0,1
30595,2025,Toyota,Camry SE,"Alhambra, CA (16 mi.)",Wondries Toyota,1,"Los Angeles, CA",90210,7255,1,1,0,1
29797,2025,MINI,Countryman Cooper S ALL4,"Signal Hill, CA (25 mi.)",Long Beach BMW,1,"Los Angeles, CA",90210,21491,0,1,0,1
24498,2024,Honda,Civic Touring,"Torrance, CA (22 mi.)",AutoNation Ford Torrance,1,"Los Angeles, CA",90210,35288,0,1,0,1
30850,2022,RAM,1500 Big Horn/Lone Star,"Monrovia, CA (25 mi.)",Sierra CDJR of Monrovia,1,"Los Angeles, CA",90210,54228,1,0,0,1
20777,2023,Nissan,Altima 2.5 SV,"Carson, CA (22 mi.)",Carson Nissan,1,"Los Angeles, CA",90210,47778,0,1,0,1
18813,2023,Nissan,Altima 2.5 SV,"Downey, CA (19 mi.)",Downey Hyundai,1,"Los Angeles, CA",90210,48485,0,1,0,1
38998,2024,BMW,X3 sDrive30i,"Signal Hill, CA (25 mi.)",Long Beach BMW,1,"Los Angeles, CA",90210,10602,1,1,1,1
34395,2025,Subaru,Outback Limited,"Monrovia, CA (25 mi.)",Sierra Subaru of Monrovia,1,"Los Angeles, CA",90210,4756,1,1,0,1
12999,2017,Honda,Accord Sport,"Santa Clarita, CA (24 mi.)",AutoNation Chevrolet Valencia,1,"Los Angeles, CA",90210,178776,0,0,0,0
17312,2023,Nissan,Altima 2.5 SV,"Torrance, CA (22 mi.)",Infiniti of South Bay,1,"Los Angeles, CA",90210,67985,0,0,0,1
25388,2023,Honda,Accord EX,"Gardena, CA (16 mi.)",Gardena Honda,1,"Los Angeles, CA",90210,20404,0,1,0,1
44950,2024,BMW,X3 sDrive30i,"Westlake Village, CA (25 mi.)",Rusnak BMW,1,"Los Angeles, CA",90210,5598,1,1,1,1
17992,2020,Volkswagen,Tiguan 2.0T SE,"Torrance, CA (22 mi.)",Mercedes-Benz of South Bay,1,"Los Angeles, CA",90210,47502,0,1,0,1
28998,2022,BMW,X3 sDrive30i,"Pasadena, CA (18 mi.)",Rusnak Pasadena Volvo,1,"Los Angeles, CA",90210,29103,0,1,1,1
44995,2023,Toyota,Tacoma TRD Off-Road,"Los Angeles, CA (5 mi.)",North Hollywood Toyota,1,"Los Angeles, CA",90210,14179,1,1,0,1
34500,2020,Lexus,RX 350 Premium,"Torrance, CA (22 mi.)",South Bay Lexus,1,"Los Angeles, CA",90210,37691,1,1,1,1
45960,2023,BMW,X5 sDrive40i,"Valencia, CA (24 mi.)",Valencia BMW,1,"Los Angeles, CA",90210,28976,1,1,1,1
43995,2018,Ford,F-150 Raptor,"Torrance, CA (22 mi.)",AutoNation Ford Torrance,1,"Los Angeles, CA",90210,80388,1,0,0,0
23999,2018,Ford,F-150 XLT,"Simi Valley, CA (25 mi.)",Simi Valley Toyota,1,"Los Angeles, CA",90210,76374,0,0,0,0
60000,2023,Dodge,Charger R/T Scat Pack,"Los Angeles, CA (6 mi.)",Van Nuys Chrysler Dodge Jeep Ram,1,"Los Angeles, CA",90210,7500,1,1,0,1
16998,2020,Kia,Sorento LX,"Cerritos, CA (25 mi.)",Norm Reeves Honda Superstore Cerritos,1,"Los Angeles, CA",90210,61601,0,0,0,1
17995,2022,Hyundai,SANTA FE SEL 2.4,"Santa Clarita, CA (24 mi.)",AutoNation Honda Valencia,1,"Los Angeles, CA",90210,74983,0,0,0,1
38990,2023,Toyota,Tacoma TRD Sport,"Los Angeles, CA (13 mi.)",Northridge Toyota,1,"Los Angeles, CA",90210,23559,1,1,0,1
27995,2018,RAM,1500 Longhorn,"City Of Industry, CA (30 mi.)",Puente Hills Hyundai,1,"Los Angeles, CA",90210,80066,0,0,0,0
29600,2023,Genesis,G70 2.0T AWD,"Torrance, CA (22 mi.)",Infiniti of South Bay,1,"Los Angeles, CA",90210,24523,0,1,1,1
49751,2024,Lexus,RX 350 Base,"Cerritos, CA (25 mi.)",Lexus of Cerritos,1,"Los Angeles, CA",90210,6209,1,1,1,1
32995,2022,Hyundai,PALISADE SEL,"City Of Industry, CA (30 mi.)",Puente Hills Hyundai,1,"Los Angeles, CA",90210,24799,1,1,0,1
23993,2019,Toyota,Camry XSE,"Cerritos, CA (25 mi.)",AutoNation Toyota Cerritos,1,"Los Angeles, CA",90210,60124,0,0,0,0
16995,2017,Maserati,Ghibli Base,"Pasadena, CA (18 mi.)",Rusnak Pasadena Volvo,1,"Los Angeles, CA",90210,52187,0,0,1,0
38995,2022,Toyota,Tacoma TRD Sport,"Santa Clarita, CA (24 mi.)",AutoNation Ford Valencia,1,"Los Angeles, CA",90210,28686,1,1,0,1
43275,2022,Chevrolet,Silverado 1500 RST,"North Hills, CA (9 mi.)",Galpin Ford,1,"Los Angeles, CA",90210,46594,1,1,0,1
27400,2019,RAM,1500 Laramie,"Buena Park, CA (29 mi.)",AutoNation Toyota Buena Park,1,"Los Angeles, CA",90210,97585,0,0,0,0
24952,2021,Buick,Enclave FWD Essence,"Culver City, CA (8 mi.)",Chevrolet of Culver City,1,"Los Angeles, CA",90210,45000,0,1,0,1
26987,2017,RAM,1500 Rebel,"Santa Clarita, CA (24 mi.)",AutoNation Chrysler Dodge Jeep Ram Valencia,1,"Los Angeles, CA",90210,88928,0,0,0,0
31488,2020,Acura,RDX A-Spec,"Glendale, CA (10 mi.)",Acura Of Glendale,1,"Los Angeles, CA",90210,32715,1,1,1,1
28995,2024,Kia,Sorento LX,"Carson, CA (22 mi.)",Kia of Carson,1,"Los Angeles, CA",90210,22577,0,1,0,1
25998,2025,Honda,Civic Sport,"Cerritos, CA (25 mi.)",Norm Reeves Honda Superstore Cerritos,1,"Los Angeles, CA",90210,4162,0,1,0,1
38992,2024,Toyota,Tacoma TRD Sport,"Cerritos, CA (25 mi.)",AutoNation Toyota Cerritos,1,"Los Angeles, CA",90210,9464,1,1,0,1
20444,2020,Honda,Civic EX,"Cerritos, CA (25 mi.)",AutoNation Toyota Cerritos,1,"Los Angeles, CA",90210,61100,0,0,0,1
