price,year,make,model,location,dealer_name,is_dealer,scrape_location,scrape_zip,mileage,high_priced,low_mileage,is_luxury,is_recent
28900.0,2019,Acura,RDX A-Spec,"Torrance, CA (22 mi.)",South Bay Lexus,1,"Los Angeles, CA",90210,56071.0,0,0,1,0
55991.0,2018,RAM,2500 Limited Mega Cab 4x4 6'4' Box,"Torrance, CA (22 mi.)",Mercedes-Benz of South Bay,1,"Los Angeles, CA",90210,42672.0,1,1,0,0
14752.0,2021,Volkswagen,Tiguan 2.0T SE R-Line Black,"Culver City, CA (8 mi.)",Chevrolet of Culver City,1,"Los Angeles, CA",90210,92596.0,0,0,0,1
23995.0,2023,Mitsubishi,Outlander SE 2.5 2WD,"Sherman Oaks, CA (5 mi.)",Universal Mitsubishi,1,"Los Angeles, CA",90210,17593.0,0,1,0,1
57980.0,2025,BMW,X3 30 xDrive,"Buena Park, CA (30 mi.)",BMW of Buena Park,1,"Los Angeles, CA",90210,1218.0,1,1,1,1
45951.0,2023,Lexus,RX 350 Premium,"Cerritos, CA (25 mi.)",Lexus of Cerritos,1,"Los Angeles, CA",90210,33278.0,1,1,1,1
28950.0,2023,Audi,Q5 40 Premium,"Pasadena, CA (19 mi.)",Audi Pasadena,1,"Los Angeles, CA",90210,36155.0,0,1,1,1
33970.0,2022,BMW,X3 sDrive30i,"Valencia, CA (24 mi.)",Valencia BMW,1,"Los Angeles, CA",90210,27199.0,1,1,1,1
22356.0,2023,Honda,Civic LX,"Glendale, CA (10 mi.)",New Century Honda,1,"Los Angeles, CA",90210,22683.0,0,1,0,1
16452.0,2022,Nissan,Altima 2.5 SV,"Culver City, CA (8 mi.)",Chevrolet of Culver City,1,"Los Angeles, CA",90210,37522.0,0,1,0,1
22418.0,2022,Honda,Civic EX,"Culver City, CA (8 mi.)",Chevrolet of Culver City,1,"Los Angeles, CA",90210,29785.0,0,1,0,1
22995.0,2022,Nissan,Altima SR Intelligent AWD,"Torrance, CA (22 mi.)",AutoNation Acura South Bay,1,"Los Angeles, CA",90210,22537.0,0,1,0,1
21455.0,2024,Mazda,CX-5 2.5 S Select,"Downey, CA (19 mi.)",Downey Hyundai,1,"Los Angeles, CA",90210,44907.0,0,1,0,1
34400.0,2020,Lexus,RX 350 Base,"Santa Monica, CA (7 mi.)",Lexus Santa Monica,1,"Los Angeles, CA",90210,22627.0,1,1,1,1
24998.0,2024,Honda,Civic Sport,"Cerritos, CA (25 mi.)",Norm Reeves Honda Superstore Cerritos,1,"Los Angeles, CA",90210,13356.0,0,1,0,1
